time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency
301,0,0,2,0,0,0,R3,fe,0,4,0
302,0,0,2,0,0,0,R3,fe,0,4,0
303,0,0,2,0,0,0,R3,fe,0,4,0
304,0,0,2,0,0,0,R3,fe,0,4,0
305,0,0,2,0,0,0,R3,fe,0,4,0
306,0,0,2,0,0,0,R3,fe,0,4,0
307,0,0,2,0,0,0,R3,fe,0,4,0
308,0,0,2,0,0,0,R3,fe,0,4,0
309,0,0,2,0,0,0,R3,fe,0,4,0
310,0,0,2,0,0,0,R3,fe,0,4,0
311,0,0,2,0,0,0,R3,fe,0,4,0
312,0,0,2,0,0,0,R3,fe,0,4,0
313,0,0,2,0,0,0,R3,fe,0,4,0
314,0,0,2,0,0,0,R3,fe,0,4,0
315,0,0,2,0,0,0,R3,fe,0,4,0
316,0,0,2,0,0,0,R3,fe,0,4,0
317,0,0,2,0,0,0,R3,fe,0,4,0
318,0,0,2,0,0,0,R3,fe,0,4,0
319,0,0,2,0,0,0,R3,fe,0,4,0
320,0,0,2,0,0,0,R3,fe,0,4,0
321,0,0,2,0,0,0,R3,fe,0,4,0
322,0,0,2,0,0,0,R3,fe,0,4,0
323,0,0,2,0,0,0,R3,fe,0,4,0
324,0,0,2,0,0,0,R3,fe,0,4,0
325,0,0,2,0,0,0,R3,fe,0,4,0
326,0,0,2,0,0,0,R3,fe,0,4,0
327,0,0,2,0,0,0,R3,fe,0,4,0
328,0,0,2,0,0,0,R3,fe,0,4,0
329,0,0,2,0,0,0,R3,fe,0,4,0
330,0,0,2,0,0,0,R3,fe,0,4,0
331,0,0,2,0,0,0,R3,fe,0,4,0
332,0,0,2,0,0,0,R3,fe,0,4,0
333,0,0,2,0,0,0,R3,fe,0,4,0
334,0,0,2,0,0,0,R3,fe,0,4,0
335,0,0,2,0,0,0,R3,fe,0,4,0
336,0,0,2,0,0,0,R3,fe,0,4,0
337,0,0,2,0,0,0,R3,fe,0,4,0
338,0,0,2,0,0,0,R3,fe,0,4,0
339,0,0,2,0,0,0,R3,fe,0,4,0
340,0,0,2,0,0,0,R3,fe,0,4,0
341,0,0,2,0,0,0,R3,fe,0,4,0
342,0,0,2,0,0,0,R3,fe,0,4,0
343,0,0,2,0,0,0,R3,fe,0,4,0
344,0,0,2,0,0,0,R3,fe,0,4,0
345,0,0,2,0,0,0,R3,fe,0,4,0
346,0,0,2,0,0,0,R3,fe,0,4,0
347,0,0,2,0,0,0,R3,fe,0,4,0
348,0,0,2,0,0,0,R3,fe,0,4,0
349,0,0,2,0,0,0,R3,fe,0,4,0
350,0,0,2,0,0,0,R3,fe,0,4,0
351,0,0,2,0,0,0,R3,cs,0,0,9
352,0,0,2,0,0,0,R3,cs,0,0,9
353,0,0,2,0,0,0,R3,cs,0,0,9
354,0,0,2,0,0,0,R3,cs,0,0,9
355,0,0,2,0,0,0,R3,cs,0,0,9
356,0,0,2,0,0,0,R3,cs,0,0,9
357,0,0,2,0,0,0,R3,cs,0,0,9
358,0,0,2,0,0,0,R3,cs,0,0,9
359,0,0,2,0,0,0,R3,cs,0,0,9
360,0,0,2,0,0,0,R3,cs,0,0,9
361,0,0,2,0,0,0,R3,cs,0,0,9
362,0,0,2,0,0,0,R3,cs,0,0,9
363,0,0,2,0,0,0,R3,cs,0,0,9
364,0,0,2,0,0,0,R3,cs,0,0,9
365,0,0,2,0,0,0,R3,cs,0,0,9
366,0,0,2,0,0,0,R3,cs,0,0,9
367,0,0,2,0,0,0,R3,cs,0,0,9
368,0,0,2,0,0,0,R3,cs,0,0,9
369,0,0,2,0,0,0,R3,cs,0,0,9
370,0,0,2,0,0,0,R3,cs,0,0,9
371,0,0,2,0,0,0,R3,cs,0,0,9
372,0,0,2,0,0,0,R3,cs,0,0,9
373,0,0,2,0,0,0,R3,cs,0,0,9
374,0,0,2,0,0,0,R3,cs,0,0,9
375,0,0,2,0,0,0,R3,cs,0,0,9
376,0,0,2,0,0,0,R3,cs,0,0,9
