Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,Delay
242,0,0,0,2,0,0,0,8,0,R4,fe,10
243,0,0,0,2,0,0,0,8,0,R4,fe,10
244,0,0,0,2,0,0,0,8,0,R4,fe,10
245,0,0,0,2,0,0,0,8,0,R4,fe,10
246,0,0,0,2,0,0,0,8,0,R4,fe,10
247,0,0,0,2,0,0,0,8,0,R4,fe,10
248,0,0,0,2,0,0,0,8,0,R4,fe,10
249,0,0,0,2,0,0,0,8,0,R4,fe,10
250,0,0,0,2,0,0,0,8,0,R4,fe,10
251,0,2,0,0,0,0,0,8,0,R2,fe,10
252,0,2,0,0,0,0,0,8,0,R2,fe,10
253,0,2,0,0,0,0,0,8,0,R2,fe,10
254,0,2,0,0,0,0,0,8,0,R2,fe,10
255,0,2,0,0,0,0,0,8,0,R2,fe,10
256,0,2,0,0,0,0,0,8,0,R2,fe,10
257,0,2,0,0,0,0,0,8,0,R2,fe,10
258,0,2,0,0,0,0,0,8,0,R2,fe,10
259,0,2,0,0,0,0,0,8,0,R2,fe,10
260,0,2,0,0,0,0,0,8,0,R2,fe,10
261,0,2,0,0,0,0,0,8,0,R2,fe,10
262,0,2,0,0,0,0,0,8,0,R2,fe,10
263,0,2,0,0,0,0,0,8,0,R2,fe,10
264,0,2,0,0,0,0,0,8,0,R2,fe,10
265,0,2,0,0,0,0,0,8,0,R2,fe,10
266,0,2,0,0,0,0,0,8,0,R2,fe,10
267,0,2,0,0,0,0,0,8,0,R2,fe,10
268,0,2,0,0,0,0,0,8,0,R2,fe,10
269,0,2,0,0,0,0,0,8,0,R2,fe,10
270,0,2,0,0,0,0,0,8,0,R2,fe,10
271,0,2,0,0,0,0,0,8,0,R2,fe,10
272,0,2,0,0,0,0,0,8,0,R2,fe,10
273,0,2,0,0,0,0,0,8,0,R2,fe,10
274,0,2,0,0,0,0,0,8,0,R2,fe,10
275,0,2,0,0,0,0,0,8,0,R2,fe,10
276,0,2,0,0,0,0,0,8,0,R2,fe,10
277,0,2,0,0,0,0,0,8,0,R2,fe,10
278,0,2,0,0,0,0,0,8,0,R2,fe,10
279,0,2,0,0,0,0,0,8,0,R2,fe,10
280,0,2,0,0,0,0,0,8,0,R2,fe,10
281,0,2,0,0,0,0,0,8,0,R2,fe,10
