2020-06-25 15:43:27.357 {"radius": 3, "center": [13.78814158930758, -1.3505703553740183]}
2020-06-25 15:43:28.203 {"radius": 3, "center": [13.53229676229567, -1.2997776138063273]}
2020-06-25 15:43:29.142 {"radius": 3, "center": [13.267495488966516, -1.2243795809880138]}
2020-06-25 15:43:30.071 {"radius": 3, "center": [12.998874428348971, -1.164245688789449]}
2020-06-25 15:43:30.926 {"radius": 3, "center": [12.741198262256537, -1.1353441514801967]}
2020-06-25 15:43:31.774 {"radius": 3, "center": [12.484169738672213, -1.1085206791217466]}
2020-06-25 15:43:32.675 {"radius": 3, "center": [12.235111796129416, -1.0791702632318505]}
2020-06-25 15:43:33.486 {"radius": 3, "center": [11.981755050384772, -1.054982701401837]}
2020-06-25 15:43:34.256 {"radius": 3, "center": [11.765367060571307, -1.011213623019916]}
2020-06-25 15:43:35.181 {"radius": 3, "center": [11.518278554626267, -0.9356481053893001]}
2020-06-25 15:43:36.038 {"radius": 3, "center": [11.268510779637882, -0.8888544987549473]}
2020-06-25 15:43:36.883 {"radius": 3, "center": [11.00851247629845, -0.8436758796126596]}
2020-06-25 15:43:37.744 {"radius": 3, "center": [10.761152634295494, -0.8182407107273991]}
2020-06-25 15:43:38.668 {"radius": 3, "center": [10.49779507615623, -0.7807493241575829]}
2020-06-25 15:43:39.608 {"radius": 3, "center": [10.224899523827114, -0.7500122637287412]}
2020-06-25 15:43:40.533 {"radius": 3, "center": [9.951820660709691, -0.7326129719379997]}
2020-06-25 15:43:41.469 {"radius": 3, "center": [9.66683919297061, -0.722058208781001]}
2020-06-25 15:43:42.319 {"radius": 3, "center": [9.404418465363975, -0.6851545074628194]}
2020-06-25 15:43:43.168 {"radius": 3, "center": [9.155563813474593, -0.6162528370168285]}
2020-06-25 15:43:44.097 {"radius": 3, "center": [8.89070025052851, -0.5353895501961438]}
2020-06-25 15:43:45.037 {"radius": 3, "center": [8.62259968957305, -0.465017364668668]}
2020-06-25 15:43:45.997 {"radius": 3, "center": [8.34493645007637, -0.4437924722001324]}
2020-06-25 15:43:46.835 {"radius": 3, "center": [8.084725509432245, -0.43035832049364026]}
2020-06-25 15:43:47.660 {"radius": 3, "center": [7.821495124217493, -0.4118875814510866]}
2020-06-25 15:43:48.510 {"radius": 3, "center": [7.565528797665561, -0.3657605210338941]}
2020-06-25 15:43:49.365 {"radius": 3, "center": [7.315043018297126, -0.3067467066804853]}
2020-06-25 15:43:50.216 {"radius": 3, "center": [7.062546362847245, -0.26351572425604125]}
2020-06-25 15:43:51.067 {"radius": 3, "center": [6.8051487303067155, -0.23790311423738356]}
2020-06-25 15:43:51.917 {"radius": 3, "center": [6.554827589895739, -0.22023571026596697]}
2020-06-25 15:43:52.842 {"radius": 3, "center": [6.297357231183112, -0.18675491678111775]}
2020-06-25 15:43:53.774 {"radius": 3, "center": [6.032208321484683, -0.11384911462735955]}
2020-06-25 15:43:54.696 {"radius": 3, "center": [5.764660077319074, -0.058077238098416334]}
2020-06-25 15:43:55.549 {"radius": 3, "center": [5.5170385005850875, -0.03358240706618458]}
2020-06-25 15:43:56.486 {"radius": 3, "center": [5.254623850875264, -0.02397126803557438]}
2020-06-25 15:43:57.332 {"radius": 3, "center": [5.004713793217033, -0.024331891555107236]}
2020-06-25 15:43:58.279 {"radius": 3, "center": [4.7384982175540875, -0.020471800813530356]}
