2020-06-25 16:47:31.759 {"radius": 3, "center": [-1.477941695643211, 0.18130190076840305]}
2020-06-25 16:47:32.677 {"radius": 3, "center": [-1.725648304865361, 0.257165856307773]}
2020-06-25 16:47:33.960 {"radius": 3, "center": [-1.9725735055672848, 0.3593197305387101]}
2020-06-25 16:47:35.629 {"radius": 3, "center": [-2.1064865682573544, 0.42515462308604285]}
2020-06-25 16:47:36.316 {"radius": 3, "center": [-2.0997779445242397, 0.4174774785665214]}
2020-06-25 16:47:36.771 {"radius": 3, "center": [-2.1128198752263683, 0.4139182111848415]}
2020-06-25 16:47:37.372 {"radius": 3, "center": [-2.1128550000430613, 0.4066491470943785]}
2020-06-25 16:47:55.401 {"radius": 3, "center": [-2.1184872615930312, 0.36223934799780505]}
2020-06-25 16:47:56.012 {"radius": 3, "center": [-2.1190540322097853, 0.3589580374855565]}
2020-06-25 16:47:56.459 {"radius": 3, "center": [-2.112392339117766, 0.35376640637503703]}
2020-06-25 16:47:56.850 {"radius": 3, "center": [-2.114940941441491, 0.3603758243809079]}
2020-06-25 16:47:57.223 {"radius": 3, "center": [-2.1211797735650166, 0.35611354783769594]}
2020-06-25 16:47:57.531 {"radius": 3, "center": [-2.072482935301154, 0.37746753784118786]}
2020-06-25 16:47:57.760 {"radius": 3, "center": [-2.0179195931316176, 0.38995079460723164]}
2020-06-25 16:47:58.290 {"radius": 3, "center": [-1.8831013722747671, 0.405322420430843]}
2020-06-25 16:47:59.346 {"radius": 3, "center": [-1.6054191487997405, 0.3962660967893024]}
2020-06-25 16:48:00.339 {"radius": 3, "center": [-1.3449744578909775, 0.381130580229101]}
2020-06-25 16:48:01.321 {"radius": 3, "center": [-1.070120587187214, 0.3609535664850998]}
2020-06-25 16:48:02.303 {"radius": 3, "center": [-0.8028972585194524, 0.3345851682388281]}
2020-06-25 16:48:03.288 {"radius": 3, "center": [-0.544951093915204, 0.3197320654924426]}
2020-06-25 16:48:04.274 {"radius": 3, "center": [-0.2691933255200469, 0.3128025211202906]}
2020-06-25 16:48:05.255 {"radius": 3, "center": [0.0016081034456337322, 0.2999569388772033]}
2020-06-25 16:48:06.218 {"radius": 3, "center": [0.24847267580272633, 0.3043425942810304]}
2020-06-25 16:48:07.177 {"radius": 3, "center": [0.5042468487528681, 0.30481532443551057]}
2020-06-25 16:48:07.992 {"radius": 3, "center": [0.760099277573847, 0.299615130494658]}
2020-06-25 16:48:08.905 {"radius": 3, "center": [1.0232586611779793, 0.2871086845264856]}
2020-06-25 16:48:09.808 {"radius": 3, "center": [1.282939501751369, 0.2783463970980238]}
2020-06-25 16:48:10.718 {"radius": 3, "center": [1.535254704448498, 0.26409654563451224]}
2020-06-25 16:48:11.631 {"radius": 3, "center": [1.7905301956632138, 0.24798588407925715]}
2020-06-25 16:48:12.540 {"radius": 3, "center": [2.046880427362678, 0.2246460333384373]}
2020-06-25 16:48:13.449 {"radius": 3, "center": [2.3109218761459482, 0.21347336265450598]}
2020-06-25 16:48:14.364 {"radius": 3, "center": [2.580936207271517, 0.20645445791606318]}
2020-06-25 16:48:15.261 {"radius": 3, "center": [2.8541117304182277, 0.2053038188905445]}
2020-06-25 16:48:16.180 {"radius": 3, "center": [3.125440708106332, 0.2000317233623895]}
2020-06-25 16:48:17.090 {"radius": 3, "center": [3.395424993104363, 0.19461198602788965]}
2020-06-25 16:48:17.992 {"radius": 3, "center": [3.65508855353769, 0.19312410497543966]}
2020-06-25 16:48:18.907 {"radius": 3, "center": [3.9201550632147164, 0.1815912527885586]}
2020-06-25 16:48:19.811 {"radius": 3, "center": [4.1958230295487615, 0.1616664868092829]}
2020-06-25 16:48:20.721 {"radius": 3, "center": [4.470835963731763, 0.14340442116331922]}
2020-06-25 16:48:21.632 {"radius": 3, "center": [4.748085271869498, 0.12002960151537216]}
2020-06-25 16:48:22.540 {"radius": 3, "center": [5.021588182919036, 0.10969904836012337]}
2020-06-25 16:48:23.448 {"radius": 3, "center": [5.2924560936147875, 0.09160740498909954]}
2020-06-25 16:48:24.354 {"radius": 3, "center": [5.555260427680405, 0.08189578907423328]}
2020-06-25 16:48:25.263 {"radius": 3, "center": [5.8221668469530785, 0.07378088050387728]}
2020-06-25 16:48:26.180 {"radius": 3, "center": [6.103906639852014, 0.0644577020686146]}
2020-06-25 16:48:27.091 {"radius": 3, "center": [6.3740653332936965, 0.053411273550002324]}
2020-06-25 16:48:28.053 {"radius": 3, "center": [6.638455739215021, 0.05320620567945641]}
2020-06-25 16:48:28.926 {"radius": 3, "center": [6.899158131297443, 0.057667683957580956]}
2020-06-25 16:48:29.903 {"radius": 3, "center": [7.1620375978808, 0.058484432793032545]}
2020-06-25 16:48:30.747 {"radius": 3, "center": [7.4389393596957865, 0.04886409117685707]}
2020-06-25 16:48:31.749 {"radius": 3, "center": [7.704328414076377, 0.02785077636130231]}
2020-06-25 16:48:32.550 {"radius": 3, "center": [7.969777589372488, -0.0023298814529345213]}
2020-06-25 16:48:33.450 {"radius": 3, "center": [8.236516738707287, -0.04679461477988931]}
2020-06-25 16:48:34.282 {"radius": 3, "center": [8.479964937574836, -0.0855358480241428]}
2020-06-25 16:48:35.191 {"radius": 3, "center": [8.741090785850018, -0.12952371141258048]}
2020-06-25 16:48:36.099 {"radius": 3, "center": [9.018506087095421, -0.15933406289322713]}
2020-06-25 16:48:37.008 {"radius": 3, "center": [9.277116237571077, -0.18443129302143882]}
2020-06-25 16:48:37.843 {"radius": 3, "center": [9.536182998780278, -0.2129137778149624]}
2020-06-25 16:48:38.755 {"radius": 3, "center": [9.81098207319206, -0.24818647526387763]}
2020-06-25 16:48:39.660 {"radius": 3, "center": [10.09191164732359, -0.28201259377470567]}
2020-06-25 16:48:40.570 {"radius": 3, "center": [10.369085096617912, -0.3215491956544395]}
2020-06-25 16:48:41.480 {"radius": 3, "center": [10.638807924310989, -0.3741385610757649]}
2020-06-25 16:48:42.409 {"radius": 3, "center": [10.90794842464006, -0.46553955574255756]}
2020-06-25 16:48:43.297 {"radius": 3, "center": [11.162385860536348, -0.571784665743876]}
2020-06-25 16:48:44.199 {"radius": 3, "center": [11.413766109477129, -0.6751436820090186]}
2020-06-25 16:48:45.113 {"radius": 3, "center": [11.674133076285809, -0.7637717776529701]}
2020-06-25 16:48:46.020 {"radius": 3, "center": [11.919093130489278, -0.8499679413236422]}
2020-06-25 16:48:46.931 {"radius": 3, "center": [12.186522724151368, -0.9165744802757819]}
2020-06-25 16:48:47.833 {"radius": 3, "center": [12.440832085029134, -0.9599100055232646]}
2020-06-25 16:48:48.747 {"radius": 3, "center": [12.71115300608519, -0.9795118927456558]}
2020-06-25 16:48:49.657 {"radius": 3, "center": [12.985005163868403, -0.9972217186158064]}
2020-06-25 16:48:50.562 {"radius": 3, "center": [13.257216810500736, -1.0115561854662565]}
2020-06-25 16:48:51.474 {"radius": 3, "center": [13.529373620533347, -1.024015656494061]}
2020-06-25 16:48:52.378 {"radius": 3, "center": [13.806222862092794, -1.0266071314215055]}
2020-06-25 16:48:53.288 {"radius": 3, "center": [14.077390462738022, -1.0291046376673558]}
2020-06-25 16:48:54.287 {"radius": 3, "center": [14.34759517469594, -1.0333594290060824]}
2020-06-25 16:48:55.113 {"radius": 3, "center": [14.612434076916522, -1.0425266794643104]}
2020-06-25 16:48:56.026 {"radius": 3, "center": [14.879124733197692, -1.0604248155727611]}
2020-06-25 16:48:56.931 {"radius": 3, "center": [15.145186840869611, -1.0739856170936901]}
2020-06-25 16:48:57.844 {"radius": 3, "center": [15.40761550232164, -1.0908167445284924]}
2020-06-25 16:48:58.755 {"radius": 3, "center": [15.68176896780596, -1.0958881430039236]}
2020-06-25 16:48:59.653 {"radius": 3, "center": [15.964535617586739, -1.1001787793811042]}
2020-06-25 16:49:00.571 {"radius": 3, "center": [16.23606933964754, -1.113783209285091]}
2020-06-25 16:49:01.477 {"radius": 3, "center": [16.502104689068464, -1.1416614408249817]}
