2020-06-25 13:06:54.240 {"radius": 3, "center": [4.183855702625903, -0.06737565783604722]}
2020-06-25 13:06:55.218 {"radius": 3, "center": [3.9263833119982063, -0.052743677774509876]}
2020-06-25 13:06:56.037 {"radius": 3, "center": [3.6627098917073773, -0.03965086700692618]}
2020-06-25 13:06:56.937 {"radius": 3, "center": [3.393006980473365, -0.02416518381135058]}
2020-06-25 13:06:57.849 {"radius": 3, "center": [3.1311494418311128, -0.01056477756315937]}
2020-06-25 13:06:58.748 {"radius": 3, "center": [2.862351894623178, 0.006270140363832222]}
2020-06-25 13:06:59.655 {"radius": 3, "center": [2.599878698596495, 0.02032661946551603]}
2020-06-25 13:07:00.552 {"radius": 3, "center": [2.330986451244245, 0.025155832039055998]}
2020-06-25 13:07:01.473 {"radius": 3, "center": [2.059905412516793, 0.037391409122374084]}
2020-06-25 13:07:02.377 {"radius": 3, "center": [1.779327754716065, 0.05249523802518125]}
2020-06-25 13:07:03.278 {"radius": 3, "center": [1.5087687911894194, 0.06431721341037189]}
2020-06-25 13:07:04.180 {"radius": 3, "center": [1.2417750875118292, 0.07992904683639834]}
2020-06-25 13:07:05.089 {"radius": 3, "center": [0.9846338776386281, 0.08836737570864886]}
2020-06-25 13:07:05.993 {"radius": 3, "center": [0.7142850471487963, 0.10337921414064304]}
2020-06-25 13:07:06.892 {"radius": 3, "center": [0.447126518047616, 0.11569745031713388]}
2020-06-25 13:07:07.795 {"radius": 3, "center": [0.17344341994014084, 0.13242236714406444]}
2020-06-25 13:07:08.704 {"radius": 3, "center": [-0.08318773534783785, 0.1439564218092625]}
2020-06-25 13:07:09.612 {"radius": 3, "center": [-0.3394336359790129, 0.15664699829735287]}
2020-06-25 13:07:10.511 {"radius": 3, "center": [-0.6039217920752674, 0.16457765701486213]}
2020-06-25 13:07:11.411 {"radius": 3, "center": [-0.8782941159273022, 0.17872102552916624]}
2020-06-25 13:07:12.319 {"radius": 3, "center": [-1.1389857261036098, 0.19660096001494484]}
2020-06-25 13:07:13.224 {"radius": 3, "center": [-1.4040593943128024, 0.2331157820546339]}
2020-06-25 13:07:14.129 {"radius": 3, "center": [-1.6622779996022714, 0.28601791531572895]}
2020-06-25 13:07:15.174 {"radius": 3, "center": [-1.9151643659680453, 0.35532454875141795]}
2020-06-25 13:07:16.831 {"radius": 3, "center": [-2.1084598645789723, 0.42477707829489947]}
2020-06-25 13:07:17.438 {"radius": 3, "center": [-2.101004361192345, 0.41467627986332706]}
2020-06-25 13:07:17.888 {"radius": 3, "center": [-2.0977895561265782, 0.4097801713591649]}
2020-06-25 13:07:18.346 {"radius": 3, "center": [-2.101251012929797, 0.40498502782357937]}
2020-06-25 13:07:19.014 {"radius": 3, "center": [-2.086544249790164, 0.39743922102454926]}
2020-06-25 13:08:09.868 {"radius": 3, "center": [-2.0709657919733546, 0.3388961527874596]}
2020-06-25 13:08:10.401 {"radius": 3, "center": [-2.0633448680910313, 0.3386433150756824]}
2020-06-25 13:08:10.778 {"radius": 3, "center": [-2.055498986912682, 0.3370563152967046]}
2020-06-25 13:08:11.152 {"radius": 3, "center": [-2.048617014186559, 0.34165451967115934]}
2020-06-25 13:08:11.456 {"radius": 3, "center": [-2.026604969404711, 0.3499506922182189]}
2020-06-25 13:08:11.759 {"radius": 3, "center": [-1.966782148747056, 0.37590280183212965]}
2020-06-25 13:08:12.137 {"radius": 3, "center": [-1.8754739020609943, 0.39709172036984536]}
2020-06-25 13:08:13.183 {"radius": 3, "center": [-1.6194708929347337, 0.3964612850405343]}
2020-06-25 13:08:14.159 {"radius": 3, "center": [-1.367537334938179, 0.38121496787857356]}
2020-06-25 13:08:15.148 {"radius": 3, "center": [-1.1097564875182662, 0.36216746889462786]}
2020-06-25 13:08:16.128 {"radius": 3, "center": [-0.8561527716397459, 0.34443590609698044]}
2020-06-25 13:08:17.107 {"radius": 3, "center": [-0.592173732852544, 0.3319919443546882]}
2020-06-25 13:08:18.074 {"radius": 3, "center": [-0.33215938353487506, 0.31776616296273824]}
2020-06-25 13:08:18.990 {"radius": 3, "center": [-0.08970476873291094, 0.30456913617789894]}
2020-06-25 13:08:19.883 {"radius": 3, "center": [0.15954823190342726, 0.2962527833646201]}
2020-06-25 13:08:20.792 {"radius": 3, "center": [0.41872818525300004, 0.28439721756442926]}
2020-06-25 13:08:21.700 {"radius": 3, "center": [0.6690576015516011, 0.27057067751346037]}
2020-06-25 13:08:22.611 {"radius": 3, "center": [0.9221094001828154, 0.2634261673071955]}
2020-06-25 13:08:23.514 {"radius": 3, "center": [1.1822281638564949, 0.25301562647521286]}
2020-06-25 13:08:24.411 {"radius": 3, "center": [1.4324705429850522, 0.23605951849693965]}
2020-06-25 13:08:25.306 {"radius": 3, "center": [1.6933957884542143, 0.22344025200779757]}
2020-06-25 13:08:26.216 {"radius": 3, "center": [1.9557657852471904, 0.2083414295687784]}
2020-06-25 13:08:27.123 {"radius": 3, "center": [2.2104252325616165, 0.18296105821523623]}
2020-06-25 13:08:28.024 {"radius": 3, "center": [2.4776306282568665, 0.16490952948253362]}
2020-06-25 13:08:28.923 {"radius": 3, "center": [2.7326768549062885, 0.15512702159718628]}
2020-06-25 13:08:29.833 {"radius": 3, "center": [3.0030812978122654, 0.13696144421555323]}
2020-06-25 13:08:30.735 {"radius": 3, "center": [3.2719137105440765, 0.11861865788878513]}
2020-06-25 13:08:31.633 {"radius": 3, "center": [3.535572533340517, 0.10937524798476608]}
2020-06-25 13:08:32.531 {"radius": 3, "center": [3.802476258858052, 0.09745331865191408]}
2020-06-25 13:08:33.450 {"radius": 3, "center": [4.0681695405576095, 0.08157797201813333]}
2020-06-25 13:08:34.347 {"radius": 3, "center": [4.336907833554029, 0.06582522511167958]}
2020-06-25 13:08:35.251 {"radius": 3, "center": [4.607394619293715, 0.05194331027959136]}
2020-06-25 13:08:36.145 {"radius": 3, "center": [4.875808053252558, 0.038424906273154945]}
2020-06-25 13:08:37.056 {"radius": 3, "center": [5.146057239821522, 0.022494066792229296]}
2020-06-25 13:08:37.960 {"radius": 3, "center": [5.417564160580429, 0.00815507093448533]}
2020-06-25 13:08:38.862 {"radius": 3, "center": [5.696356207281515, -0.01053756629024126]}
2020-06-25 13:08:39.766 {"radius": 3, "center": [5.96153295907003, -0.02495932358098269]}
2020-06-25 13:08:40.672 {"radius": 3, "center": [6.238384931437408, -0.04301976277288467]}
2020-06-25 13:08:41.570 {"radius": 3, "center": [6.5214371917438045, -0.05824113364105221]}
2020-06-25 13:08:42.470 {"radius": 3, "center": [6.802179368645138, -0.07981757322183015]}
2020-06-25 13:08:43.372 {"radius": 3, "center": [7.058344634891665, -0.09102515436502177]}
2020-06-25 13:08:44.366 {"radius": 3, "center": [7.324481341045649, -0.10561417111561909]}
2020-06-25 13:08:45.208 {"radius": 3, "center": [7.589561311153235, -0.13302491445086542]}
2020-06-25 13:08:46.080 {"radius": 3, "center": [7.834645800851498, -0.15276940714789855]}
2020-06-25 13:08:47.030 {"radius": 3, "center": [8.093286043974443, -0.16386389920377548]}
2020-06-25 13:08:47.894 {"radius": 3, "center": [8.348042366580605, -0.1763266777154945]}
2020-06-25 13:08:48.870 {"radius": 3, "center": [8.616414784336692, -0.19887591559982742]}
2020-06-25 13:08:49.710 {"radius": 3, "center": [8.880039220467477, -0.2303714815555636]}
2020-06-25 13:08:50.586 {"radius": 3, "center": [9.15386000376524, -0.2609577192788648]}
2020-06-25 13:08:51.495 {"radius": 3, "center": [9.412649494639727, -0.28607010515543313]}
2020-06-25 13:08:52.400 {"radius": 3, "center": [9.686518641601186, -0.31021383322364315]}
2020-06-25 13:08:53.305 {"radius": 3, "center": [9.952491749998833, -0.34059646134056715]}
2020-06-25 13:08:54.206 {"radius": 3, "center": [10.234349566129223, -0.37509521224903736]}
2020-06-25 13:08:55.106 {"radius": 3, "center": [10.49846638220899, -0.41193867234549525]}
2020-06-25 13:08:56.009 {"radius": 3, "center": [10.75983938673466, -0.4626083737924917]}
2020-06-25 13:08:56.912 {"radius": 3, "center": [11.02491752016853, -0.5364421024159717]}
2020-06-25 13:08:57.811 {"radius": 3, "center": [11.284593718953724, -0.6230914094789478]}
2020-06-25 13:08:58.725 {"radius": 3, "center": [11.52459149196224, -0.7157297219973304]}
2020-06-25 13:08:59.625 {"radius": 3, "center": [11.777165392812215, -0.8042352341075196]}
2020-06-25 13:09:00.530 {"radius": 3, "center": [12.032531125827242, -0.8919722240692176]}
2020-06-25 13:09:01.427 {"radius": 3, "center": [12.287001435553517, -0.9630128346309896]}
2020-06-25 13:09:02.344 {"radius": 3, "center": [12.5525164308814, -0.983844863927404]}
2020-06-25 13:09:03.240 {"radius": 3, "center": [12.819721983408325, -0.9735219853829786]}
2020-06-25 13:09:04.144 {"radius": 3, "center": [13.090738283754199, -0.9800649677264847]}
2020-06-25 13:09:05.051 {"radius": 3, "center": [13.347298944748374, -1.000788958478061]}
2020-06-25 13:09:05.956 {"radius": 3, "center": [13.604077683832863, -1.0088521926550558]}
2020-06-25 13:09:06.865 {"radius": 3, "center": [13.883057759060918, -1.012537106183542]}
2020-06-25 13:09:07.763 {"radius": 3, "center": [14.149558633248807, -1.021714976106127]}
2020-06-25 13:09:08.654 {"radius": 3, "center": [14.41435630372809, -1.0353712062174016]}
2020-06-25 13:09:09.560 {"radius": 3, "center": [14.675350551696313, -1.050627306676503]}
2020-06-25 13:09:10.463 {"radius": 3, "center": [14.935510953997419, -1.065833296765846]}
2020-06-25 13:09:11.371 {"radius": 3, "center": [15.211876400824083, -1.0815486200881668]}
2020-06-25 13:09:12.268 {"radius": 3, "center": [15.4797087555539, -1.102986605836881]}
2020-06-25 13:09:13.177 {"radius": 3, "center": [15.75106538822391, -1.114354367410953]}
2020-06-25 13:09:14.080 {"radius": 3, "center": [16.00513337070294, -1.1262735460714548]}
2020-06-25 13:09:14.979 {"radius": 3, "center": [16.27916185009104, -1.1351284748882824]}
2020-06-25 13:09:15.879 {"radius": 3, "center": [16.542177804476143, -1.1645676488136265]}
2020-06-25 13:09:16.787 {"radius": 3, "center": [16.8138486733719, -1.1961834029875789]}
2020-06-25 13:09:17.692 {"radius": 3, "center": [17.075454520150345, -1.2203760998553588]}
2020-06-25 13:09:18.621 {"radius": 3, "center": [17.34610568453929, -1.2521101538181585]}
2020-06-25 13:09:19.491 {"radius": 3, "center": [17.605392491702375, -1.2806904204644824]}
2020-06-25 13:09:20.430 {"radius": 3, "center": [17.866045041911857, -1.3181605826302925]}
2020-06-25 13:09:21.302 {"radius": 3, "center": [18.125335670412653, -1.35870664131603]}
2020-06-25 13:09:22.201 {"radius": 3, "center": [18.388000387661783, -1.3964774552383896]}
2020-06-25 13:09:23.091 {"radius": 3, "center": [18.654382637553113, -1.4275086343120382]}
2020-06-25 13:09:24.002 {"radius": 3, "center": [18.91965176459222, -1.454344222799001]}
2020-06-25 13:09:24.907 {"radius": 3, "center": [19.170135264910705, -1.4926448381962307]}
2020-06-25 13:09:25.817 {"radius": 3, "center": [19.4567480468137, -1.532974092298958]}
2020-06-25 13:09:26.714 {"radius": 3, "center": [19.70856367246548, -1.5705801920635065]}
