2020-06-25 16:16:44.792 {"radius": 3, "center": [-2.1278036623637595, 0.31419094733898495]}
2020-06-25 16:16:45.402 {"radius": 3, "center": [-2.128487443226278, 0.3136592952510354]}
2020-06-25 16:16:45.862 {"radius": 3, "center": [-2.1309567827935356, 0.2999760853166899]}
2020-06-25 16:16:46.234 {"radius": 3, "center": [-2.1222788518605307, 0.2971123700439566]}
2020-06-25 16:16:46.545 {"radius": 3, "center": [-2.106368966065702, 0.31713854617659]}
2020-06-25 16:16:46.756 {"radius": 3, "center": [-2.0632190769473597, 0.34323931865900253]}
2020-06-25 16:16:47.067 {"radius": 3, "center": [-1.972478583175812, 0.3635316023882555]}
2020-06-25 16:16:47.517 {"radius": 3, "center": [-1.8455538444231725, 0.3640127455824877]}
2020-06-25 16:16:48.571 {"radius": 3, "center": [-1.5658362370400454, 0.33329758380562413]}
2020-06-25 16:16:49.551 {"radius": 3, "center": [-1.316131045224382, 0.301172724189158]}
2020-06-25 16:16:50.537 {"radius": 3, "center": [-1.0536340018258012, 0.2631204220947634]}
2020-06-25 16:16:51.526 {"radius": 3, "center": [-0.7968942387585848, 0.23030763684702682]}
2020-06-25 16:16:52.506 {"radius": 3, "center": [-0.5265004189296204, 0.2006800970241638]}
2020-06-25 16:16:53.490 {"radius": 3, "center": [-0.2493958215425547, 0.17942346884624913]}
2020-06-25 16:16:54.389 {"radius": 3, "center": [0.013882260282293054, 0.16353187364308952]}
2020-06-25 16:16:55.305 {"radius": 3, "center": [0.25698207779305665, 0.1634750402046396]}
2020-06-25 16:16:56.212 {"radius": 3, "center": [0.5036766942679243, 0.16235461986828253]}
2020-06-25 16:16:57.125 {"radius": 3, "center": [0.7587464171032111, 0.1566232480292902]}
2020-06-25 16:16:58.020 {"radius": 3, "center": [0.9927992031940692, 0.15561554023156343]}
2020-06-25 16:16:58.938 {"radius": 3, "center": [1.2643334677034024, 0.14537993491936707]}
2020-06-25 16:16:59.840 {"radius": 3, "center": [1.5210720955322723, 0.13675948734994448]}
2020-06-25 16:17:00.746 {"radius": 3, "center": [1.7843865252925184, 0.1263187074810987]}
2020-06-25 16:17:01.652 {"radius": 3, "center": [2.0419558596079095, 0.11583422428260186]}
2020-06-25 16:17:02.563 {"radius": 3, "center": [2.2809692469924636, 0.10344578103685761]}
2020-06-25 16:17:03.465 {"radius": 3, "center": [2.5370067223316632, 0.09265088625991572]}
2020-06-25 16:17:04.368 {"radius": 3, "center": [2.7929025189179337, 0.07832453141043651]}
2020-06-25 16:17:05.277 {"radius": 3, "center": [3.0435239675657435, 0.0708983397013925]}
2020-06-25 16:17:06.184 {"radius": 3, "center": [3.290013157946904, 0.06428180756492913]}
2020-06-25 16:17:07.090 {"radius": 3, "center": [3.543264689547769, 0.06268570830417065]}
2020-06-25 16:17:07.994 {"radius": 3, "center": [3.7923355344619085, 0.058760249342094714]}
2020-06-25 16:17:08.908 {"radius": 3, "center": [4.054653957059478, 0.051082459647993836]}
2020-06-25 16:17:09.804 {"radius": 3, "center": [4.307243329931535, 0.04732143909986745]}
2020-06-25 16:17:10.714 {"radius": 3, "center": [4.570650180118925, 0.04875691235927337]}
2020-06-25 16:17:11.629 {"radius": 3, "center": [4.837562061549201, 0.05627551851601446]}
2020-06-25 16:17:12.531 {"radius": 3, "center": [5.095191666856411, 0.05307776529166371]}
2020-06-25 16:17:13.429 {"radius": 3, "center": [5.369218304014335, 0.030388280358060165]}
2020-06-25 16:17:14.340 {"radius": 3, "center": [5.635838073863222, 0.011868545957388411]}
2020-06-25 16:17:15.249 {"radius": 3, "center": [5.8996981437974, -0.005504397499990033]}
2020-06-25 16:17:16.149 {"radius": 3, "center": [6.161343712346247, -0.014075287436636042]}
2020-06-25 16:17:17.051 {"radius": 3, "center": [6.428596038788992, -0.03177404363636941]}
2020-06-25 16:17:17.962 {"radius": 3, "center": [6.692123649696789, -0.044258004366572165]}
2020-06-25 16:17:18.874 {"radius": 3, "center": [6.957530098068113, -0.05936722328181871]}
2020-06-25 16:17:19.776 {"radius": 3, "center": [7.216505827783853, -0.07196852222153453]}
2020-06-25 16:17:20.679 {"radius": 3, "center": [7.492028073514589, -0.08119564044175438]}
2020-06-25 16:17:21.591 {"radius": 3, "center": [7.76001450920134, -0.10239126034892786]}
2020-06-25 16:17:22.493 {"radius": 3, "center": [8.023690825817711, -0.12570456846647718]}
2020-06-25 16:17:23.393 {"radius": 3, "center": [8.282817899541248, -0.14722872522638103]}
2020-06-25 16:17:24.292 {"radius": 3, "center": [8.550537782988126, -0.16220054319253613]}
2020-06-25 16:17:25.203 {"radius": 3, "center": [8.817947549851741, -0.18892046597899645]}
2020-06-25 16:17:26.116 {"radius": 3, "center": [9.093363607299935, -0.21568092669953604]}
2020-06-25 16:17:27.021 {"radius": 3, "center": [9.357607339657783, -0.23986264358195664]}
2020-06-25 16:17:27.916 {"radius": 3, "center": [9.62236866103596, -0.26460354361740024]}
2020-06-25 16:17:28.827 {"radius": 3, "center": [9.884376056524147, -0.292635863475406]}
2020-06-25 16:17:29.729 {"radius": 3, "center": [10.152992552520624, -0.3236546477354593]}
2020-06-25 16:17:30.636 {"radius": 3, "center": [10.410798930284361, -0.3766312217900315]}
2020-06-25 16:17:31.532 {"radius": 3, "center": [10.668283598627445, -0.4326881836964577]}
2020-06-25 16:17:32.445 {"radius": 3, "center": [10.931776204659371, -0.4910281860371496]}
2020-06-25 16:17:33.355 {"radius": 3, "center": [11.176164437638942, -0.5642068935465455]}
2020-06-25 16:17:34.264 {"radius": 3, "center": [11.421684342941202, -0.6486931403429642]}
2020-06-25 16:17:35.158 {"radius": 3, "center": [11.669694388387708, -0.7483357120737351]}
2020-06-25 16:17:36.068 {"radius": 3, "center": [11.913837206917163, -0.8467509417774158]}
2020-06-25 16:17:36.970 {"radius": 3, "center": [12.163639823378556, -0.9268076350249511]}
2020-06-25 16:17:37.883 {"radius": 3, "center": [12.421646585210715, -0.9699138178373784]}
2020-06-25 16:17:38.781 {"radius": 3, "center": [12.689179514690935, -0.9917540391099346]}
2020-06-25 16:17:39.695 {"radius": 3, "center": [12.96183177126761, -1.0125616495079721]}
2020-06-25 16:17:40.595 {"radius": 3, "center": [13.236753287173237, -1.021994540256868]}
2020-06-25 16:17:41.496 {"radius": 3, "center": [13.501445709082379, -1.030763929113889]}
2020-06-25 16:17:42.405 {"radius": 3, "center": [13.772517732171442, -1.0469856752605904]}
2020-06-25 16:17:43.315 {"radius": 3, "center": [14.037012598264567, -1.0537916569577006]}
2020-06-25 16:17:44.216 {"radius": 3, "center": [14.304501842508055, -1.0610398006639414]}
2020-06-25 16:17:45.121 {"radius": 3, "center": [14.5662496705595, -1.0647366562190481]}
2020-06-25 16:17:46.019 {"radius": 3, "center": [14.838373808035216, -1.0732306175053983]}
2020-06-25 16:17:46.937 {"radius": 3, "center": [15.11374461565502, -1.0831445587042086]}
2020-06-25 16:17:47.841 {"radius": 3, "center": [15.38452461209717, -1.093305596386196]}
2020-06-25 16:17:48.747 {"radius": 3, "center": [15.645598683112059, -1.1062818885508963]}
2020-06-25 16:17:49.645 {"radius": 3, "center": [15.92322849847937, -1.1144156275857537]}
2020-06-25 16:17:50.562 {"radius": 3, "center": [16.1917030744027, -1.128187102233362]}
2020-06-25 16:17:51.468 {"radius": 3, "center": [16.456792204292995, -1.1489830751807428]}
2020-06-25 16:17:52.380 {"radius": 3, "center": [16.717893363599703, -1.1762946661611986]}
2020-06-25 16:17:53.277 {"radius": 3, "center": [16.988491973363125, -1.199181791814174]}
2020-06-25 16:17:54.187 {"radius": 3, "center": [17.249737188177406, -1.2281965255036746]}
2020-06-25 16:17:55.098 {"radius": 3, "center": [17.52115084270015, -1.2581575532645055]}
2020-06-25 16:17:56.004 {"radius": 3, "center": [17.784801631375046, -1.2908300557133727]}
2020-06-25 16:17:56.955 {"radius": 3, "center": [18.05923442184242, -1.3264962651962835]}
2020-06-25 16:17:57.937 {"radius": 3, "center": [18.321477618921055, -1.3555053941039141]}
2020-06-25 16:17:58.723 {"radius": 3, "center": [18.57443351282696, -1.3863966130580803]}
2020-06-25 16:17:59.656 {"radius": 3, "center": [18.84217145977683, -1.4285820972934324]}
2020-06-25 16:18:00.528 {"radius": 3, "center": [19.1103885782504, -1.4638642484202251]}
2020-06-25 16:18:01.443 {"radius": 3, "center": [19.37645731702983, -1.5037073940427237]}
2020-06-25 16:18:02.349 {"radius": 3, "center": [19.65078098528378, -1.5397979115539968]}
2020-06-25 16:18:03.261 {"radius": 3, "center": [19.908937514507222, -1.5791509023759132]}
2020-06-25 16:18:04.150 {"radius": 3, "center": [20.179488279737367, -1.6229118377314211]}
2020-06-25 16:18:05.062 {"radius": 3, "center": [20.450211781897554, -1.6731583732679134]}
