time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency,Delay
360,0,0,2,0,0,0,R3,cs,0,0,9,11
361,0,0,2,0,0,0,R3,cs,0,0,9,11
362,0,0,2,0,0,0,R3,cs,0,0,9,11
363,0,0,2,0,0,0,R3,cs,0,0,9,11
364,0,0,2,0,0,0,R3,cs,0,0,9,11
365,0,0,2,0,0,0,R3,cs,0,0,9,11
366,0,0,2,0,0,0,R3,cs,0,0,9,11
367,0,0,2,0,0,0,R3,cs,0,0,9,11
368,0,0,2,0,0,0,R3,cs,0,0,9,11
369,0,0,2,0,0,0,R3,cs,0,0,9,11
370,0,0,2,0,0,0,R3,cs,0,0,9,11
371,0,0,2,0,0,0,R3,cs,0,0,9,11
372,0,0,2,0,0,0,R3,cs,0,0,9,11
373,0,0,2,0,0,0,R3,cs,0,0,9,11
374,0,0,2,0,0,0,R3,cs,0,0,9,11
375,0,0,2,0,0,0,R3,cs,0,0,9,11
376,0,0,2,0,0,0,R3,cs,0,0,9,11
377,0,0,2,0,0,0,R3,cs,0,0,9,11
378,0,0,2,0,0,0,R3,cs,0,0,9,11
379,0,0,2,0,0,0,R3,cs,0,0,9,11
380,0,0,2,0,0,0,R3,cs,0,0,9,11
381,0,0,2,0,0,0,R3,cs,0,0,9,11
382,0,0,2,0,0,0,R3,cs,0,0,9,11
383,0,0,2,0,0,0,R3,cs,0,0,9,11
384,0,0,2,0,0,0,R3,cs,0,0,9,11
385,0,0,2,0,0,0,R3,cs,0,0,9,11
386,0,0,2,0,0,0,R3,cs,0,0,9,11
387,0,0,2,0,0,0,R3,cs,0,0,9,11
388,0,0,2,0,0,0,R3,cs,0,0,9,11
389,0,0,2,0,0,0,R3,cs,0,0,9,11
390,0,0,2,0,0,0,R3,cs,0,0,9,11
391,0,0,2,0,0,0,R3,cs,0,0,9,11
392,0,0,2,0,0,0,R3,cs,0,0,9,11
393,0,0,2,0,0,0,R3,cs,0,0,9,11
394,0,0,2,0,0,0,R3,cs,0,0,9,11
395,0,0,2,0,0,0,R3,cs,0,0,9,11
396,0,0,2,0,0,0,R3,cs,0,0,9,11
397,0,0,2,0,0,0,R3,cs,0,0,9,11
398,0,0,2,0,0,0,R3,cs,0,0,9,11
399,0,0,2,0,0,0,R3,cs,0,0,9,11
400,0,0,2,0,0,0,R3,cs,0,0,9,11
