Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,SNR
274,0,2,0,0,0,0,0,8,0,R2,fe,26.02
275,0,2,0,0,0,0,0,8,0,R2,fe,26.02
276,0,2,0,0,0,0,0,8,0,R2,fe,26.02
277,0,2,0,0,0,0,0,8,0,R2,fe,26.02
278,0,2,0,0,0,0,0,8,0,R2,fe,26.02
279,0,2,0,0,0,0,0,8,0,R2,fe,26.02
280,0,2,0,0,0,0,0,8,0,R2,fe,26.02
281,0,2,0,0,0,0,0,8,0,R2,fe,26.02
282,0,2,0,0,0,0,0,8,0,R2,fe,26.02
283,0,2,0,0,0,0,0,8,0,R2,fe,26.02
284,0,2,0,0,0,0,0,8,0,R2,fe,26.02
285,0,2,0,0,0,0,0,8,0,R2,fe,26.02
286,0,2,0,0,0,0,0,8,0,R2,fe,26.02
287,0,2,0,0,0,0,0,8,0,R2,fe,26.02
288,0,2,0,0,0,0,0,8,0,R2,fe,26.02
289,0,2,0,0,0,0,0,8,0,R2,fe,26.02
290,0,2,0,0,0,0,0,8,0,R2,fe,26.02
291,0,2,0,0,0,0,0,8,0,R2,fe,26.02
292,0,2,0,0,0,0,0,8,0,R2,fe,26.02
293,0,2,0,0,0,0,0,8,0,R2,fe,26.02
294,0,2,0,0,0,0,0,8,0,R2,fe,26.02
295,0,2,0,0,0,0,0,8,0,R2,fe,26.02
296,0,2,0,0,0,0,0,8,0,R2,fe,26.02
297,0,2,0,0,0,0,0,8,0,R2,fe,26.02
298,0,2,0,0,0,0,0,8,0,R2,fe,26.02
299,0,2,0,0,0,0,0,8,0,R2,fe,26.02
300,0,2,0,0,0,0,0,8,0,R2,fe,26.02
301,0,0,2,0,0,0,0,4,0,R3,fe,25.44
302,0,0,2,0,0,0,0,4,0,R3,fe,25.44
303,0,0,2,0,0,0,0,4,0,R3,fe,25.44
304,0,0,2,0,0,0,0,4,0,R3,fe,25.44
305,0,0,2,0,0,0,0,4,0,R3,fe,25.44
306,0,0,2,0,0,0,0,4,0,R3,fe,25.44
307,0,0,2,0,0,0,0,4,0,R3,fe,25.44
308,0,0,2,0,0,0,0,4,0,R3,fe,25.44
309,0,0,2,0,0,0,0,4,0,R3,fe,25.44
310,0,0,2,0,0,0,0,4,0,R3,fe,25.44
311,0,0,2,0,0,0,0,4,0,R3,fe,25.44
312,0,0,2,0,0,0,0,4,0,R3,fe,25.44
313,0,0,2,0,0,0,0,4,0,R3,fe,25.44
314,0,0,2,0,0,0,0,4,0,R3,fe,25.44
315,0,0,2,0,0,0,0,4,0,R3,fe,25.44
316,0,0,2,0,0,0,0,4,0,R3,fe,25.44
317,0,0,2,0,0,0,0,4,0,R3,fe,25.44
318,0,0,2,0,0,0,0,4,0,R3,fe,25.44
319,0,0,2,0,0,0,0,4,0,R3,fe,25.44
320,0,0,2,0,0,0,0,4,0,R3,fe,25.44
321,0,0,2,0,0,0,0,4,0,R3,fe,25.44
322,0,0,2,0,0,0,0,4,0,R3,fe,25.44
