2020-06-25 13:47:52.151 {"radius": 3, "center": [15.038964170481853, -1.1430529076869518]}
2020-06-25 13:47:53.063 {"radius": 3, "center": [15.308837086308818, -1.1530132991514848]}
2020-06-25 13:47:53.962 {"radius": 3, "center": [15.571822345481952, -1.169738144015518]}
2020-06-25 13:47:54.859 {"radius": 3, "center": [15.840862009932568, -1.1871922651980231]}
2020-06-25 13:47:55.758 {"radius": 3, "center": [16.10196023225874, -1.2019195088721828]}
2020-06-25 13:47:56.661 {"radius": 3, "center": [16.36839429680948, -1.2189945211623967]}
2020-06-25 13:47:57.569 {"radius": 3, "center": [16.629980601995268, -1.2438590165543761]}
2020-06-25 13:47:58.469 {"radius": 3, "center": [16.89355570777036, -1.2708425250267399]}
2020-06-25 13:47:59.357 {"radius": 3, "center": [17.160560961690027, -1.3054129647968897]}
2020-06-25 13:48:00.273 {"radius": 3, "center": [17.425560411895766, -1.3419049111014114]}
2020-06-25 13:48:01.260 {"radius": 3, "center": [17.70021465102479, -1.3755170103003493]}
2020-06-25 13:48:02.075 {"radius": 3, "center": [17.972715551376787, -1.40320617684561]}
2020-06-25 13:48:02.992 {"radius": 3, "center": [18.24040361308706, -1.4374892417443035]}
2020-06-25 13:48:03.887 {"radius": 3, "center": [18.51323657708325, -1.4913308447645837]}
2020-06-25 13:48:04.788 {"radius": 3, "center": [18.780200065947856, -1.5361872810083677]}
2020-06-25 13:48:05.695 {"radius": 3, "center": [19.053436617447986, -1.5810324693944189]}
2020-06-25 13:48:06.590 {"radius": 3, "center": [19.31304575140619, -1.6252250233318746]}
2020-06-25 13:48:07.495 {"radius": 3, "center": [19.58644247062261, -1.6637852766754355]}
2020-06-25 13:48:08.392 {"radius": 3, "center": [19.841247258321687, -1.7073059232107466]}
2020-06-25 13:48:09.284 {"radius": 3, "center": [20.102013202626463, -1.7489103201382596]}
