time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency
348,0,0,2,0,0,0,R3,cs,0,0,9
349,0,0,2,0,0,0,R3,cs,0,0,9
350,0,0,2,0,0,0,R3,cs,0,0,9
351,0,0,2,0,0,0,R3,cs,0,0,9
352,0,0,2,0,0,0,R3,cs,0,0,9
353,0,0,2,0,0,0,R3,cs,0,0,9
354,0,0,2,0,0,0,R3,cs,0,0,9
355,0,0,2,0,0,0,R3,cs,0,0,9
356,0,0,2,0,0,0,R3,cs,0,0,9
357,0,0,2,0,0,0,R3,cs,0,0,9
358,0,0,2,0,0,0,R3,cs,0,0,9
359,0,0,2,0,0,0,R3,cs,0,0,9
360,0,0,2,0,0,0,R3,cs,0,0,9
361,0,0,2,0,0,0,R3,cs,0,0,9
362,0,0,2,0,0,0,R3,cs,0,0,9
363,0,0,2,0,0,0,R3,cs,0,0,9
364,0,0,2,0,0,0,R3,cs,0,0,9
365,0,0,2,0,0,0,R3,cs,0,0,9
366,0,0,2,0,0,0,R3,cs,0,0,9
367,0,0,2,0,0,0,R3,cs,0,0,9
368,0,0,2,0,0,0,R3,cs,0,0,9
369,0,0,2,0,0,0,R3,cs,0,0,9
370,0,0,2,0,0,0,R3,cs,0,0,9
371,0,0,2,0,0,0,R3,cs,0,0,9
372,0,0,2,0,0,0,R3,cs,0,0,9
373,0,0,2,0,0,0,R3,cs,0,0,9
374,0,0,2,0,0,0,R3,cs,0,0,9
375,0,0,2,0,0,0,R3,cs,0,0,9
376,0,0,2,0,0,0,R3,cs,0,0,9
377,0,0,2,0,0,0,R3,cs,0,0,9
378,0,0,2,0,0,0,R3,cs,0,0,9
379,0,0,2,0,0,0,R3,cs,0,0,9
380,0,0,2,0,0,0,R3,cs,0,0,9
381,0,0,2,0,0,0,R3,cs,0,0,9
382,0,0,2,0,0,0,R3,cs,0,0,9
383,0,0,2,0,0,0,R3,cs,0,0,9
384,0,0,2,0,0,0,R3,cs,0,0,9
385,0,0,2,0,0,0,R3,cs,0,0,9
386,0,0,2,0,0,0,R3,cs,0,0,9
387,0,0,2,0,0,0,R3,cs,0,0,9
388,0,0,2,0,0,0,R3,cs,0,0,9
389,0,0,2,0,0,0,R3,cs,0,0,9
390,0,0,2,0,0,0,R3,cs,0,0,9
391,0,0,2,0,0,0,R3,cs,0,0,9
392,0,0,2,0,0,0,R3,cs,0,0,9
393,0,0,2,0,0,0,R3,cs,0,0,9
394,0,0,2,0,0,0,R3,cs,0,0,9
395,0,0,2,0,0,0,R3,cs,0,0,9
396,0,0,2,0,0,0,R3,cs,0,0,9
397,0,0,2,0,0,0,R3,cs,0,0,9
398,0,0,2,0,0,0,R3,cs,0,0,9
399,0,0,2,0,0,0,R3,cs,0,0,9
400,0,0,2,0,0,0,R3,cs,0,0,9
